نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",اسکرچ,5500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",هوش مصنوعی,6000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",آموزش بازی سازی,6000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پایتون مقدماتی و پیشرفته,5100000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",ساخت اپلیکیشن  با پایتون,5700000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پرامپت نویسی و راستی آزمایی Al,6000000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",iCDL1(windows-Word-Power point-internet),6800000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",اکسل,5100000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",تولید محتوا با موبایل,5500000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",هوش مصنوعی,7200000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
