نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",نینجا پسران,1000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",نینجا پسران,2000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",نینجا دختران,1800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",نینجا دختران,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",تکواندو پسران,1800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",تکواندو پسران,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",تکواندو دختران,1800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",تکواندو دختران,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",تکواندو دختران,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ووشو پسران,1200000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",پیلاتس بانوان,1800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس بانوان,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس بانوان,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس  و چربی سوزی بانوان,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",دفاع شخصی بانوان,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ژیمناستیک دختران,1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ژیمناستیک دختران,800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ژیمناستیک پسران,800000 1تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ژیمناستیک پسران,1600000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",پیلاتس بانوان,1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس بانوان,800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس بانوان,1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",فیتنس  و چربی سوزی بانوان,1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",دفاع شخصی بانوان,1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه ورزشی علمشیری
(شماره تماس:03135251778)
آدرس: خیابان جی، خیابان شهید رجایی، ورزشگاه شهید علمشیری-خیابان لاهور، ورزشگاه پیروزی-شهرک ولی عصر، ورزشگاه ولی عصر(عج)",ژیمناستیک بانوان,800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",نیمه خصوصی  12 جلسه,4400000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",عمومی 10 جلسه,2800000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",آب درمانی,2000000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",ورزش در آب,4400000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",نیمه خصوصی,2800000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",عمومی 10 جلسه,2000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",آب درمانی,4400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",ورزش در آب,2400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",نیمه خصوصی,2800000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",عمومی 10 جلسه,2000000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",آب درمانی,4400000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",ورزش در آب,2400000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",نیمه خصوصی,2800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",عمومی 10 جلسه,2000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",آب درمانی,4400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",ورزش در آب,2400000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",نیمه خصوصی,2800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",عمومی 10 جلسه,2000000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",آب درمانی,4400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"استخر ابوذر 20 درصد
(شماره تماس: 09900336016-03132369024)
آدرس: اصفهان، خیابان آذر",ورزش در آب,2400000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"استخر نصر
(شماره تماس: 03136292237)
آدرس: سه راه حکیم نظامی، بلوار دانشگاه، مجموعه 22 بهمن)",نیمه خصوصی (5 نفره),9700000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"استخر نصر
(شماره تماس: 03136292237)
آدرس: سه راه حکیم نظامی، بلوار دانشگاه، مجموعه 22 بهمن)",نیمه خصوصی (5 نفره),9700000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"استخر نصر
(شماره تماس: 03136292237)
آدرس: سه راه حکیم نظامی، بلوار دانشگاه، مجموعه 22 بهمن)",نیمه خصوصی (5 نفره),9700000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"استخر نصر
(شماره تماس: 03136292237)
آدرس: سه راه حکیم نظامی، بلوار دانشگاه، مجموعه 22 بهمن)",نیمه خصوصی (5 نفره),9700000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"استخر نصر
(شماره تماس: 03136292237)
آدرس: سه راه حکیم نظامی، بلوار دانشگاه، مجموعه 22 بهمن)",نیمه خصوصی (5 نفره),9700000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"باشگاه فرهنگی ورزشی تام
(شماره تماس: 09901194212-03134390020)
آدرس: خیابان رزمندگان، جنب مسجد امام حسن مجتبی(ع)",فوتبال چمن یکساله(4 ترم),16200000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"باشگاه فرهنگی ورزشی تام
(شماره تماس: 09901194212-03134390020)
آدرس: خیابان رزمندگان، جنب مسجد امام حسن مجتبی(ع)",فوتبال چمن یکساله(4 ترم),16200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"باشگاه فرهنگی ورزشی تام
(شماره تماس: 09901194212-03134390020)
آدرس: خیابان رزمندگان، جنب مسجد امام حسن مجتبی(ع)",فوتبال چمن یکساله(4 ترم),16200000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"باشگاه فرهنگی ورزشی تام
(شماره تماس: 09901194212-03134390020)
آدرس: خیابان رزمندگان، جنب مسجد امام حسن مجتبی(ع)",فوتبال چمن یکساله(4 ترم),16200000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک عمومی   خانم ها(4 سال به بالا),840000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک پیشرفته   خانم ها(4 سال به بالا),840000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک عمومی آقایان(4 سال به بالا),840000 تومان,4-5-6-,پیش دبستانی(5 سال یا کمتر)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کاراته پیشرفته  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تکواندو عمومی  خانم ها,1100000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تکواندو پیشرفته  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",نینجا عمومی  خانم ها,880000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",دفاع شخصی عمومی  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کیک بوکس عمومی  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تیراندازی  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بسکتبال عمومی  خانم ها,2100000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال عمومی  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال پیشرفته  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",فوتسال پیشرفته  خانم ها,1100000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بدمینتون عمومی  خانم ها,1500000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بدمینتون پیشرفته  خانم ها,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",پیلاتس عمومی,960000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",پیلاتس پیشرفته,660000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ایروبیک عمومی,880000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ایروبیک پیشرفته,660000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک عمومی   خانم ها,700000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک پیشرفته   خانم ها,840000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال عمومی  آقایان,840000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال پیشرفته آقایان,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بسکتبال عمومی  آقایان,1500000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بسکتبال پیشرفته آقایان,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بدمینتون عمومی  آقایان,980000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",فوتسال  آقایان,850000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",فوتبال  آقایان,1500000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کاراته عمومی  آقایان,1500000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کاراته پیشرفته  آقایان,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ووشو عمومی  آقایان,750000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تیراندازی  آقایان,680000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک عمومی آقایان,2100000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کاراته پیشرفته  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تکواندو عمومی  خانم ها,1100000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تکواندو پیشرفته  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",نینجا عمومی  خانم ها,880000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",دفاع شخصی عمومی  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",کیک بوکس عمومی  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",تیراندازی  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بسکتبال عمومی  خانم ها,2100000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال عمومی  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال پیشرفته  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",فوتسال پیشرفته  خانم ها,1100000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بدمینتون عمومی  خانم ها,1500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",بدمینتون پیشرفته  خانم ها,680000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",پیلاتس عمومی,960000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",پیلاتس پیشرفته,660000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ایروبیک عمومی,880000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ایروبیک پیشرفته,660000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک عمومی   خانم ها,700000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",ژیمناستیک پیشرفته   خانم ها,840000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مجموعه ورزشی تختی شاهین شهر
(شماره تماس: 03145225027)
آدرس: شاهین شهر، خیابان مخابرات، فرعی 11 شرقی",والیبال عمومی  آقایان,840000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
